state;year;P/pack;pop;pop16+;CPI;ndi/capita;C/capita;Pn/pack;ln C_it;ln P_it;ln Pn_it;ln Y_it
1;82;73.1;3943;2953.5;96.5;7505.21998;119.1;67.8;5.068914423;-0.277714642;-0.352980813;4.353811046
1;83;84.4;3959;2977.5;99.6;7974.551856;116.3;78.6;5.041080505;-0.165594763;-0.236790465;4.382848568
1;84;90.8;3990;3009.1;103.9;8693.376058;113;86.8;5.009538019;-0.134769612;-0.179822276;4.426887744
1;85;99;4020;3039.8;107.6;9059.434471;114.5;90.7;5.020065002;-0.083300798;-0.170863291;4.433141329
1;86;103;4050;3072.4;109.6;9674.985211;116.3;98.8;5.032430926;-0.062108386;-0.10373977;4.480461615
1;87;110;4083;3104;113.6;10213.84774;114;103.5;5.010338858;-0.03220314;-0.093111894;4.498816193
1;88;114.4;4102;3124;118.3;10993;112.1;109.2;4.991751758;-0.033522692;-0.080042708;4.531790215
1;89;122.3;4118;3140;124;11634;105.6;121.5;4.93080318;-0.013804523;-0.020367303;4.541405559
1;90;139.1;4129.2;3148.6;130.7;12806;108.6;132.3;4.958797182;0.062288478;0.01216745;4.584764469
1;91;144.4;4178.3;3185.1;136.2;13360;107.9;137.4;4.952625652;0.058462833;0.008771986;4.585896053
1;92;172.2;4226.3;3226.7;140.3;14533;109.1;159.5;4.962131855;0.204873605;0.128260935;4.640394218
2;63;23.9;1517;982.4;30.6;1944.745058;125;24.9;5.262805159;-0.24712155;-0.206132205;4.151886163
2;64;24;1549;1005.6;31;2063.515998;121;25.5;5.227815729;-0.255933374;-0.195308752;4.198179398
2;65;24.2;1575;1024.9;31.5;2162.663914;123.2;25.3;5.243469277;-0.263634913;-0.21918315;4.229108489
2;66;29.6;1609;1051.9;32.4;2318.615324;113.9;25.5;5.160335686;-0.090384061;-0.239479971;4.27056702
2;67;29.2;1637;1078.9;33.4;2446.681382;117.1;26;5.179951565;-0.134387191;-0.250459362;4.293931947
2;68;31.3;1667;1106;34.8;2720.370941;115.6;32.3;5.160411657;-0.105999289;-0.074550157;4.358906139
2;69;36.1;1693;1117.5;36.7;2979.601429;113.8;33.3;5.149850577;-0.01648389;-0.097219358;4.396768067
2;70;37.1;1772;1226.6;38.8;3269.815641;115.2;34.6;5.114532486;-0.044803277;-0.114566565;4.434068637
2;71;38.5;1878;1313.5;40.5;3549.701945;109.6;36.6;5.054349425;-0.050643733;-0.101253734;4.473316946
2;72;38;1975;1393.6;41.8;3800.670107;125;37.2;5.176991809;-0.09531018;-0.116587578;4.510036335
2;73;38.7;2075;1476.5;44.4;4219.983168;128.3;36.5;5.194658003;-0.137399869;-0.195927209;4.554346949
2;74;39.2;2156;1547;49.3;4508.131798;133.1;37.8;5.223037807;-0.229247334;-0.265614978;4.51571403
2;75;47.7;2200;1591.4;53.8;4742.575308;121.8;40.5;5.126223584;-0.120342069;-0.283971493;4.479062114
2;76;49.1;2244;1635.8;56.9;5158.789996;122.3;43.4;5.122605049;-0.147436306;-0.2708359;4.507161993
2;77;48.7;2304;1690.8;60.6;5567.775149;121.7;44.7;5.111003953;-0.218615863;-0.304321391;4.520455925
2;78;53.6;2373;1750.6;65.2;6283.499166;124.7;49.5;5.130107244;-0.195910401;-0.275486799;4.568222827
2;79;58.6;2450;1812.4;72.6;7099.40389;124.6;53.7;5.126544697;-0.214230225;-0.30155192;4.582801179
2;80;60.8;2718;2044;82.4;7823.390234;126.8;57.2;5.127598685;-0.303995648;-0.365031539;4.553287836
2;81;63.3;2794;2103.8;90.9;8647.557285;113.8;62.7;5.018171549;-0.361874672;-0.371398554;4.555272164
2;82;73.3;2860;2153.1;96.5;8879.935212;113.5;68.1;5.015715798;-0.274982399;-0.348565795;4.522006532
2;83;80.5;2963;2231.2;99.6;9579.134577;111.1;79.6;4.994093408;-0.21290498;-0.224148072;4.566180366
2;84;92.8;3053;2300.7;103.9;10549.95792;107.1;90.2;4.956674267;-0.112982258;-0.141399471;4.620448252
2;85;98.8;3161;2384.7;107.6;11256.38682;107.1;97.5;4.95557808;-0.085323043;-0.09856827;4.650270316
2;86;106.7;3279;2483.1;109.6;11796.5364;107.9;101.2;4.959235591;-0.026816216;-0.079738618;4.678723868
2;87;113.5;3386;2569;113.6;12367.66971;106.1;103.9;4.940514611;-0.000880669;-0.089254608;4.690157559
2;88;113.5;3489;2638;118.3;13008;102.2;113.7;4.906525786;-0.041420934;-0.03966037;4.700096061
2;89;125.6;3556;2672;124;13625;96.8;126.4;4.858456056;0.012820688;0.019169916;4.699380054
2;90;130.2;3598.2;2703.7;130.7;13826;88.9;133.6;4.773324658;-0.003832891;0.02194564;4.661401536
2;91;151.4;3681.7;2759.1;136.2;14232;81.2;146.9;4.68538531;0.105800947;0.075627689;4.649123836
2;92;165.7;3762.2;2804.8;140.3;15179;79;165.4;4.66311951;0.166395937;0.164583795;4.683885186
3;63;27;1907;1296.7;30.6;1480.333494;103.4;25.8;5.024313713;-0.125163143;-0.170625517;3.879022666
3;64;27.3;1939;1320.7;31;1610.079769;102.6;25.7;5.01484841;-0.127100502;-0.187496213;3.950051798
3;65;27.2;1941;1323.6;31.5;1710.198943;100.3;26.1;4.991013702;-0.146770573;-0.188052232;3.994377438
3;66;30.3;1963;1344.8;32.4;1883.87506;98.9;26.2;4.972337851;-0.06701071;-0.212399012;4.062927714
3;67;30.4;1972;1357.3;33.4;2004.426718;102.9;27.5;5.007308467;-0.094113292;-0.194369895;4.094557473
3;68;30.9;1983;1374.6;34.8;2143.367612;104;29.2;5.010838969;-0.118861203;-0.175448678;4.120516135
3;69;30.9;1995;1389;36.7;2286.395002;102.9;29.9;4.995817629;-0.172020571;-0.204918275;4.131954866
3;70;36.7;1923;1366.9;38.8;2493.784719;100.3;34.3;4.949506759;-0.055643492;-0.123274892;4.163136556
3;71;38.8;1961;1405.4;40.5;2710.369053;104.1;36.8;4.978484563;-0.042881727;-0.095804129;4.203538113
3;72;44.1;1999;1442.9;41.8;2950.450745;103.9;37.4;4.969420976;0.053563443;-0.111225635;4.256816893
3;73;45.1;2030;1474.6;44.4;3410.181643;108;37.3;5.001780254;0.015642777;-0.174246143;4.341281367
3;74;45.5;2063;1508.3;49.3;3807.593465;109.7;38;5.010927413;-0.080211755;-0.260337921;4.346828551
3;75;48.6;2112;1552.5;53.8;4057.891398;114.8;43;5.050960315;-0.101649936;-0.224073351;4.323145291
3;76;50.9;2113;1565.1;56.9;4362.335416;119.1;44.7;5.080122495;-0.111432418;-0.24132184;4.339467498
3;77;52.6;2143;1596.8;60.6;4859.86641;122.6;45.9;5.103132113;-0.141578773;-0.277829776;4.384471336
3;78;56.5;2167;1623.7;65.2;5467.732821;127.3;49.9;5.135182733;-0.143218831;-0.267438466;4.429159865
3;79;58.4;2180;1641;72.6;6015.323402;126.5;52.2;5.124261373;-0.217649032;-0.329882427;4.417100471
3;80;61.5;2286;1715.1;82.4;6278.902451;131.8;57.3;5.168617799;-0.292548262;-0.363284813;4.333365038
3;81;64.7;2296;1725.7;90.9;7101.309947;128.7;59.9;5.143019828;-0.3399988;-0.417083496;4.358274544
3;82;72.1;2291;1724.7;96.5;7390.429601;127.4;64.7;5.131267024;-0.291488964;-0.399781807;4.338398137
3;83;82;2328;1757.4;99.6;7886.938972;128;74.8;5.13320435;-0.194442917;-0.28634428;4.371801211
3;84;93.6;2349;1776.7;103.9;8546.908217;123.1;84.8;5.092229028;-0.104398515;-0.203133355;4.409895986
3;85;98.5;2359;1790.1;107.6;9134.342143;125.8;92.5;5.11065966;-0.0883641;-0.151212003;4.441375804
3;86;103.6;2371;1804.6;109.6;9550.1432;126;98.8;5.109254753;-0.056300045;-0.10373977;4.467474054
3;87;113;2388;1819;113.6;9886.257569;122.3;103.5;5.078646339;-0.005295688;-0.093111894;4.466217441
3;88;119.9;2395;1823;118.3;10630;121.5;112.1;5.072813998;0.013434291;-0.053832441;4.4982117
3;89;127.7;2406;1831;124;11243;118.3;118.9;5.046327123;0.029402197;-0.041998762;4.507219426
3;90;141.2;2411.1;1834.9;130.7;12370;113.1;129.1;5.001365474;0.077272704;-0.012317323;4.550124845
3;91;146.5;2432.7;1851.2;136.2;12917;116.8;132.5;5.033630745;0.072901035;-0.027541748;4.552175159
3;92;177.3;2460.4;1876.7;140.3;13879;126;153.1;5.10709093;0.234060226;0.087308316;4.594349198
4;63;25.3;17556;12072;30.6;2776.096562;142;23.9;5.330334108;-0.190195613;-0.24712155;4.507801096
4;64;25.5;18003;12384.3;31;2974.92948;138.3;24;5.303534108;-0.195308752;-0.255933374;4.563988409
4;65;25.3;18403;12673.3;31.5;3107.844963;140;24.2;5.314658699;-0.21918315;-0.263634913;4.591697281
4;66;25.5;18669;12898.5;32.4;3296.952359;136.8;29.6;5.288273374;-0.239479971;-0.090384061;4.62259537
4;67;26;18992;13181.8;33.4;3462.286253;135.8;29.2;5.276363963;-0.250459362;-0.134387191;4.641128517
4;68;35.4;19179;13370.3;34.8;3690.295741;124.3;31.3;5.1834781;0.017094433;-0.105999289;4.663844494
4;69;36.6;19443;13681.6;36.7;3919.385842;123.9;33.3;5.170910032;-0.002728515;-0.097219358;4.670913493
4;70;38.8;19953;14317.6;38.8;4192.781105;123;37.1;5.144074314;0;-0.044803277;4.682699294
4;71;39.7;20266;14670.5;40.5;4414.306911;121;38.5;5.118896476;-0.019950786;-0.050643733;4.691304141
4;72;39.9;20447;14938.3;41.8;4650.961308;123.5;38;5.130148944;-0.046520016;-0.09531018;4.711932871
4;73;39.9;20670;15243.7;44.4;5103.738443;124.4;38.7;5.128019251;-0.106863146;-0.137399869;4.744489109
4;74;41.9;20915;15566.6;49.3;5607.304421;126.7;39.2;5.137161099;-0.162638254;-0.229247334;4.733901307
4;75;45;21216;15933;53.8;6138.966355;127.1;44.5;5.131337362;-0.178610977;-0.189784278;4.737138194
4;76;48.3;21550;16318.7;56.9;6630.645582;128;44.9;5.130094391;-0.16386378;-0.236857546;4.75816211
4;77;49;21900;16697.6;60.6;7234.708633;126.4;48.7;5.110673122;-0.212474595;-0.218615863;4.782350473
4;78;58.7;22314;17117.2;65.2;8021.395397;126.1;53.6;5.102205721;-0.105019742;-0.195910401;4.812408206
4;79;60.1;22694;17481.6;72.6;8957.20685;121.9;57.1;5.06415271;-0.18895508;-0.240160805;4.8152488
4;80;62.1;23669;20853.4;82.4;9891.937689;120.2;60.8;4.915806193;-0.282839448;-0.303995648;4.787889893
4;81;66.4;24196;18670.6;90.9;10816.94301;118.6;63.3;5.034993723;-0.314062945;-0.361874672;4.779108979
4;82;72.8;24724;19064.1;96.5;11361.5723;115.4;71.6;5.008371801;-0.281827053;-0.298447934;4.768449081
4;83;84.9;25174;19419.8;99.6;12027.23033;110.8;80.5;4.967245326;-0.159688071;-0.21290498;4.793766388
4;84;94.9;25622;19776.5;103.9;13019.2337;104.8;92.8;4.911010765;-0.090605192;-0.112982258;4.83075416
4;85;98;26358;20215.4;107.6;13755.13162;102.8;98.8;4.898112497;-0.093453169;-0.085323043;4.850746594
4;86;104.4;27001;20695.9;109.6;14350.54976;99.7;106.6;4.868103966;-0.048607699;-0.027753863;4.874706157
4;87;103.9;27663;21156;113.6;15016.20779;97.5;113.5;4.848024605;-0.089254608;-0.000880669;4.88420191
4;88;117.4;28314;21591;118.3;16059;90.1;113.5;4.771999985;-0.007636864;-0.041420934;4.910800948
4;89;126.4;29063;22081;124;16779;82.4;125.6;4.686333814;0.019169916;0.012820688;4.907601818
4;90;163.8;29602.1;22490.6;130.7;17384;77.8;130.2;4.628889292;0.225741551;-0.003832891;4.890400901
4;91;186.8;30218.8;22694;136.2;17705;68.7;151.4;4.516112874;0.315914132;0.105800947;4.867477971
4;92;201.9;30703.3;22920;140.3;18495;67.5;165.7;4.504487847;0.363989538;0.166395937;4.881472717
5;63;26.8;2716;1883.5;30.6;2913.680015;156.2;26.2;5.417165699;-0.132598121;-0.155240598;4.556172162
5;64;27.8;2784;1929.7;31;3104.144592;143.5;26.9;5.332859227;-0.108951184;-0.141860918;4.606506258
5;65;28.1;2830;1961.5;31.5;3249.668089;147;26.5;5.356999812;-0.114217969;-0.172842813;4.636320598
5;66;30.1;2886;2004.9;32.4;3493.633952;144.5;30;5.337556784;-0.073633251;-0.076961041;4.680539298
5;67;31.1;2918;2034.8;33.4;3763.280431;145.6;31;5.341364052;-0.071348081;-0.074568695;4.724490411
5;68;31.3;2961;2075.2;34.8;3897.033645;143.2;32.1;5.319711769;-0.105999289;-0.080761357;4.718353552
5;69;32.2;3000;2127.2;36.7;4135.649379;144.7;35;5.318468361;-0.130810303;-0.047428694;4.724622885
5;70;42.2;3032;2155.2;38.8;4482.33771;120;39.3;5.128830684;0.083999974;0.012804272;4.749479753
5;71;45.5;3063;2201.4;40.5;4715.603315;117.6;40.2;5.097590342;0.116410352;-0.007434978;4.757330169
5;72;51.3;3074;2234.2;41.8;4948.868921;110.8;41.6;5.026823197;0.204794413;-0.004796172;4.774017989
5;73;50.6;3076;2258.3;44.4;5496.722086;109.3;40.6;5.003114129;0.130712107;-0.089471403;4.81866774
5;74;52.5;3085;2292.9;49.3;5949.342962;112.4;41.3;5.018798203;0.062889089;-0.177061581;4.793111985
5;75;54.5;3097;2327.6;53.8;6407.313967;110.2;44.3;4.987893104;0.012927235;-0.19428879;4.779921957
5;76;57.6;3101;2356.5;56.9;6838.534329;113.4;52.2;5.005468564;0.012227227;-0.086212846;4.789033367
5;77;58.4;3107;2384.5;60.6;7505.160348;117.3;52.3;5.029402927;-0.036979003;-0.147298522;4.819051216
5;78;61.7;3116;2415.3;65.2;8309.819684;117.5;56.3;5.021164959;-0.055175538;-0.146764934;4.84773372
5;79;64.4;3115;2435.5;72.6;9295.313365;117.4;58.7;5.011663985;-0.119851289;-0.212525195;4.852300691
5;80;67;3108;2424;82.4;10384.59954;118;60;5.019244989;-0.206892818;-0.317240875;4.836493737
5;81;80.1;3134;2461.5;90.9;11470.67564;116.4;64.5;4.998571759;-0.126484147;-0.343094777;4.837789112
5;82;85.6;3153;2487.6;96.5;12380.19749;114.7;71.6;4.979356014;-0.119857725;-0.298447934;4.85431049
5;83;95.6;3138;2487.6;99.6;13485.53406;114.1;83.1;4.969342521;-0.040989345;-0.181117463;4.908210674
5;84;113.5;3154;2505.9;103.9;14927.92872;112.5;94.8;4.952976759;0.088373939;-0.091659489;4.96756025
5;85;118.6;3175;2525.1;107.6;15685.50692;111;100.3;4.938557168;0.097335839;-0.070254953;4.982071791
5;86;118.5;3193;2541.5;109.6;16486.95618;108.5;101.8;4.914956629;0.078075586;-0.07382727;5.013487438
5;87;122.7;3211;2555;113.6;17762.42683;109;113.5;4.919878074;0.077058845;-0.000880669;5.052157147
5;88;129.7;3233;2568;118.3;19559;104.8;121.5;4.882336885;0.09200032;0.026690492;5.107967047
5;89;142;3239;2564;124;20687;100.6;134.8;4.844848359;0.135545492;0.083510633;5.116979197
5;90;171.2;3242.9;2567.1;130.7;21447;91.5;150.9;4.750030106;0.269927843;0.143712745;5.100435434
5;91;169.5;3246.9;2555.4;136.2;21967;86.7;163.3;4.701945812;0.218728533;0.181464606;5.083172212
5;92;193.5;3237;2536.7;140.3;22891;83.6;175.9;4.669826471;0.321494525;0.226132665;5.094716112
6;63;26.8;480;317.7;30.6;2261.462369;165.8;26.8;5.523460805;-0.132598121;-0.132598121;4.30276694
6;64;27.1;494;326.3;31;2325.3401;170.9;28.5;5.555796904;-0.134453477;-0.084083117;4.317634382
6;65;27.2;503;332.1;31.5;2529.36748;170.8;27.9;5.555647323;-0.146770573;-0.121360857;4.385736997
6;66;31;514;343.6;32.4;2691.445306;161.3;28.2;5.48601106;-0.044171218;-0.138836445;4.419675194
6;67;30.7;524;353.2;33.4;2864.010521;158.2;29.4;5.458317271;-0.084293245;-0.127561226;4.451422301
6;68;32;533;359;34.8;3061.364108;164.8;30.9;5.499931653;-0.083881484;-0.118861203;4.476998496
6;69;32.2;540;362.8;36.7;3287.319666;175.5;30.7;5.565356464;-0.130810303;-0.1785141;4.495051065
6;70;39;584;378.2;38.8;3495.160642;155;32.6;5.477902944;0.0051414;-0.174107958;4.50071437
6;71;41.3;563;392.6;40.5;3730.650189;161.1;34.2;5.442513636;0.019560526;-0.16907633;4.523035837
6;72;44.7;570;403.1;41.8;4015.716482;156.3;34.3;5.398228928;0.067077162;-0.197750985;4.565074722
6;73;44;573;409.9;44.4;4438.072228;154.7;35.3;5.376460247;-0.009049836;-0.229356505;4.604735909
6;74;44.2;576;416.6;49.3;4755.554087;151.3;35.8;5.343245753;-0.109199292;-0.319976188;4.569144414
6;75;45.9;579;424.3;53.8;5112.125304;147.6;39.5;5.305367638;-0.15880835;-0.308972795;4.55409704
6;76;50.1;582;431;56.9;5440.094551;153;46.1;5.330800279;-0.127274333;-0.210482391;4.560256379
6;77;51.7;582;434.8;60.6;5850.05611;153.3;49.2;5.323981078;-0.158837112;-0.20840127;4.569911639
6;78;58.7;584;440.6;65.2;6407.79451;155.5;52.1;5.32840928;-0.105019742;-0.22429452;4.587810952
6;79;60;582;441.5;72.6;7017.016455;150.2;56.2;5.288260167;-0.19062036;-0.256048165;4.571128478
6;80;62.7;595;454;82.4;7773.061843;150.5;58.1;5.284427292;-0.273223989;-0.349419773;4.546833988
6;81;66;598;458.8;90.9;8492.878069;152.6;62.8;5.292796488;-0.320105259;-0.369804928;4.537223216
6;82;74.1;602;463.6;96.5;9213.647694;154.1;65.4;5.298837076;-0.264127476;-0.38902075;4.5588981
6;83;82;606;469.4;99.6;10081.24076;149.6;74.9;5.263389768;-0.194442917;-0.285008274;4.617269461
6;84;91.1;613;476.1;103.9;10806.77738;144;84.2;5.222550319;-0.131471094;-0.210233977;4.644499853
6;85;98.7;622;481.8;107.6;11563.77617;144.5;90.1;5.22869051;-0.086335701;-0.177500483;4.677212099
6;86;105.2;633;492.4;109.6;12062.40383;142.4;93.3;5.209819027;-0.040974074;-0.161017267;4.701011399
6;87;111.4;644;502;113.6;12960.50567;141;100.3;5.197858497;-0.019556179;-0.124517811;4.73697848
6;88;119.3;660;513;118.3;14137;137.1;109.2;5.172674576;0.008417558;-0.080042708;4.783326982
6;89;124;673;522;124;14949;131.7;120.2;5.134604351;0;-0.031124544;4.792118121
6;90;140;681.2;528.3;130.7;16435;127.2;131.5;5.099952296;0.068737802;0.006102231;4.834263865
6;91;143.2;695.5;537.5;136.2;16732;118.8;141.6;5.035143658;0.050117861;0.038881788;4.810953939
6;92;174.7;704.7;543.6;140.3;18300;120;159.1;5.047050241;0.21928723;0.125749948;4.870873352
7;63;23.4;792;563.1;30.6;2733.226538;246.4;24.7;5.848060391;-0.268263987;-0.214196765;4.492238063
7;64;23.9;795;559.3;31;2894.00457;235.3;25.2;5.812517409;-0.260108746;-0.20714321;4.536409282
7;65;24.1;802;560.2;31.5;3068.44348;246.5;25.1;5.866176739;-0.267775705;-0.2271197;4.578938156
7;66;24.1;806;559.3;32.4;3215.560633;295.9;24.7;6.0554193;-0.295946582;-0.271355179;4.597598579
7;67;26.6;808;559.3;33.4;3479.320672;249.8;26.3;5.888536654;-0.227644684;-0.238986961;4.646036444
7;68;26.7;802;554.4;34.8;3752.538242;224.3;27.1;5.782206602;-0.264953821;-0.250083659;4.680570368
7;69;27.2;798;561.2;36.7;3907.011253;212.2;28.3;5.709560475;-0.299559782;-0.25991495;4.66775122
7;70;28.5;756;563.1;38.8;4202.296396;200.4;28.8;5.594899513;-0.308516159;-0.298044859;4.684966169
7;71;32.6;750;560.2;40.5;4600.563546;213;30.2;5.653071509;-0.216989686;-0.29346005;4.732632111
7;72;33.7;744;558.3;41.8;4964.153082;220.6;29.9;5.683495689;-0.215398502;-0.335037859;4.777101645
7;73;34.5;734;553.4;44.4;5310.929228;209.4;30.1;5.62667426;-0.252280145;-0.388714298;4.784282625
7;74;36;721;547.6;49.3;5894.143657;182.7;31.3;5.482939507;-0.314405143;-0.454305984;4.783790455
7;75;39.4;711;543.7;53.8;6587.69595;176.5;33.6;5.441595682;-0.311507651;-0.4707474;4.807685471
7;76;47.8;697;536.9;56.9;7003.827326;167.7;37.9;5.383150222;-0.174269702;-0.406344229;4.812916698
7;77;51.9;683;529.2;60.6;7770.938196;136.7;38.4;5.172917171;-0.154976103;-0.456237433;4.853851289
7;78;59.8;671;523.3;65.2;8369.915177;130.3;42.8;5.118453708;-0.086453808;-0.420921366;4.85493956
7;79;59.3;656;514.6;72.6;9306.210773;128.5;45.8;5.098699793;-0.202355616;-0.460680831;4.853472359
7;80;65.6;638;518.5;82.4;10605.04507;129.7;48.5;5.072622347;-0.228009741;-0.530021639;4.85749968
7;81;69;631;512.7;90.9;11612.79757;131.9;51.8;5.089659043;-0.275653497;-0.562369852;4.850103006
7;82;74.8;631;512.7;96.5;12167.6394;132;56.4;5.090416906;-0.254725123;-0.53707385;4.83699219
7;83;86.3;623;505.9;99.6;13222.67956;124.5;68.8;5.032513213;-0.143332567;-0.36995842;4.888526618
7;84;98.5;623;505.9;103.9;14479.48038;124.6;76;5.033316104;-0.05337235;-0.312695558;4.937058882
7;85;100.4;623;502.9;107.6;15439.94522;122.1;83.6;5.018995557;-0.06925844;-0.252377128;4.966292628
7;86;109.3;625;502.9;109.6;15675.33267;117.2;91.3;4.981242184;-0.002740979;-0.182686587;4.963006214
7;87;112.5;622;501;113.6;16632.645;113;94.6;4.94372181;-0.009730285;-0.18302603;4.986439103
7;88;119;617;494;118.3;18397;105.4;102.1;4.880096143;0.005899722;-0.147271046;5.046719116
7;89;135.9;604;478;124;19937;101.1;109.4;4.850073591;0.091637756;-0.125270676;5.080051015
7;90;145.7;587.5;465;130.7;19351;84.1;128.6;4.665845407;0.108645093;-0.016197809;4.997594756
7;91;143.3;578.8;452;136.2;20231;82.2;136.5;4.656430117;0.050815941;0.002200221;5.000846967
7;92;187.4;570.1;447.4;140.3;22101;82.6;157.9;4.656368416;0.289462383;0.118178934;5.059595148
8;63;26.3;5532;3996.8;30.6;1980.686778;137.5;26.9;5.24867929;-0.15143107;-0.128873722;4.170198912
8;64;29.7;5654;4087.2;31;2122.916946;125.5;27.5;5.156808879;-0.042840159;-0.1198012;4.226559135
8;65;29.7;5796;4197.7;31.5;2261.986443;131.1;29.8;5.198591659;-0.0588405;-0.055479152;4.274011118
8;66;30;5914;4292.1;32.4;2430.555531;131.3;30.6;5.198031079;-0.076961041;-0.057158414;4.317716701
8;67;30.2;6035;4401.6;33.4;2599.124618;132.8;31.5;5.20445198;-0.100713976;-0.058568354;4.354374082
8;68;32;6210;4559.3;34.8;2861.460261;129.3;33.3;5.171127079;-0.083881484;-0.04405999;4.409469967
8;69;41.3;6354;4733.1;36.7;3131.170801;121.2;34.2;5.091946231;0.118085745;-0.070551111;4.446385516
8;70;43.5;6789;5188.1;38.8;3444.07717;123.6;34.3;5.085986659;0.114340691;-0.123274892;4.485991026
8;71;43.8;7101;5471.4;40.5;3693.77013;123;35.8;5.072885449;0.078331843;-0.123354081;4.513100957
8;72;46.8;7407;5754.6;41.8;3978.230466;126;40.9;5.088707871;0.112986863;-0.021766276;4.555696053
8;73;47.4;7757;6073.1;44.4;4483.937728;132.6;42.1;5.132063556;0.065382759;-0.053191729;4.615017427
8;74;48.1;8087;6387.5;49.3;4813.701006;136;42.4;5.148569764;-0.024641904;-0.150775719;4.581297426
8;75;51.7;8253;6572.3;53.8;5129.768045;131.9;44.5;5.109756983;-0.039815686;-0.189784278;4.557542255
8;76;55.9;8348;6705.9;56.9;5436.353073;130.3;47.9;5.088873737;-0.017730961;-0.172179837;4.559568383
8;77;55.9;8481;6862.6;60.6;5965.238585;133.1;49.5;5.102842714;-0.080730513;-0.202322224;4.589409438
8;78;66.3;8661;7051.4;65.2;6677.44298;133.4;54.7;5.098956144;0.016730428;-0.17559576;4.629030937
8;79;66.5;8860;7251.3;72.6;7425.468305;135.4;56.6;5.108599362;-0.087762974;-0.248955937;4.627706111
8;80;69.8;9749;8052.9;82.4;8227.225028;139;59.3;5.125606374;-0.165951427;-0.328976131;4.603618622
8;81;72.8;10183;8426.6;90.9;9132.230317;132.8;62.6;5.078170531;-0.222044046;-0.372994723;4.609805227
8;82;79;10416;8626.4;96.5;9545.224581;131.8;67.8;5.069801439;-0.200095156;-0.352980813;4.594253256
8;83;90.5;10680;8855.5;99.6;10352.24909;127.6;78.9;5.03623447;-0.095812314;-0.232980937;4.643796914
8;84;99.3;10976;9113.6;103.9;11091.84596;124.7;86.8;5.01185412;-0.045283327;-0.179822276;4.670536621
8;85;104.2;11053;9113.6;107.6;11764.0152;124.2;90.7;5.01482725;-0.032108518;-0.170863291;4.694379944
8;86;113.8;11373;9384.8;109.6;12378.23881;124.7;100.1;5.018061619;0.037605147;-0.090667688;4.726857901
8;87;120.8;12023;9649;113.6;13193.69177;125.1;103.9;5.049080616;0.061452779;-0.089254608;4.754810592
8;88;130.5;12335;9870;118.3;14144;119.5;109.2;5.006257268;0.098149456;-0.080042708;4.783822014
8;89;139.8;12671;10113;124;15049;113.8;122.3;4.959936715;0.119931264;-0.013804523;4.798785257
8;90;150.1;12971.8;10353.1;130.7;15859;110.1;132.3;4.926880822;0.138397118;0.01216745;4.798587821
8;91;174.8;13311.7;10561.6;136.2;16254;98.2;138.2;4.818424781;0.24951807;0.014577518;4.781969918
8;92;187;13523.2;10664.3;140.3;17246;95.9;159.5;4.800810996;0.28732563;0.128260935;4.811552524
